,year,month,day,day_of_week,country,search_interest_sourdough_worldwide,relative_search_interest,variable,value
0,2015,1,1,3,Guernsey,7,,sourdough: (01/01/2015 - 31/12/2020),
1,2015,2,1,6,Jersey,7,,sourdough: (01/01/2015 - 31/12/2020),
2,2015,3,1,6,New Zealand,6,100.0,sourdough: (01/01/2015 - 31/12/2020),100.0
3,2015,3,31,1,Australia,6,100.0,sourdough: (01/01/2015 - 31/12/2020),100.0
4,2015,4,30,3,Iceland,6,,sourdough: (01/01/2015 - 31/12/2020),
5,2015,5,31,6,Singapore,6,82.0,sourdough: (01/01/2015 - 31/12/2020),82.0
6,2015,6,30,1,Canada,6,82.0,sourdough: (01/01/2015 - 31/12/2020),82.0
7,2015,7,31,4,Ireland,6,81.0,sourdough: (01/01/2015 - 31/12/2020),81.0
8,2015,8,31,0,United Kingdom,6,80.0,sourdough: (01/01/2015 - 31/12/2020),80.0
9,2015,9,30,2,Bermuda,6,,sourdough: (01/01/2015 - 31/12/2020),
10,2015,10,31,5,Isle of Man,7,,sourdough: (01/01/2015 - 31/12/2020),
11,2015,12,1,1,United States,6,60.0,sourdough: (01/01/2015 - 31/12/2020),60.0
12,2016,1,1,4,Guam,8,,sourdough: (01/01/2015 - 31/12/2020),
13,2016,2,1,0,Gibraltar,8,,sourdough: (01/01/2015 - 31/12/2020),
14,2016,3,1,1,Cayman Islands,10,,sourdough: (01/01/2015 - 31/12/2020),
15,2016,3,31,3,Brunei,9,,sourdough: (01/01/2015 - 31/12/2020),
16,2016,4,30,5,Malaysia,8,30.0,sourdough: (01/01/2015 - 31/12/2020),30.0
17,2016,5,31,1,Belize,7,,sourdough: (01/01/2015 - 31/12/2020),
18,2016,6,30,3,South Africa,7,26.0,sourdough: (01/01/2015 - 31/12/2020),26.0
19,2016,7,31,6,Hong Kong,7,25.0,sourdough: (01/01/2015 - 31/12/2020),25.0
20,2016,8,31,2,Bahamas,7,,sourdough: (01/01/2015 - 31/12/2020),
21,2016,9,30,4,Malta,9,,sourdough: (01/01/2015 - 31/12/2020),
22,2016,10,31,0,Barbados,9,,sourdough: (01/01/2015 - 31/12/2020),
23,2016,12,1,3,Bahrain,8,,sourdough: (01/01/2015 - 31/12/2020),
24,2017,1,1,6,St Helena,9,,sourdough: (01/01/2015 - 31/12/2020),
25,2017,2,1,2,Slovenia,10,,sourdough: (01/01/2015 - 31/12/2020),
26,2017,3,1,2,Macao,9,,sourdough: (01/01/2015 - 31/12/2020),
27,2017,3,31,4,United Arab Emirates,10,16.0,sourdough: (01/01/2015 - 31/12/2020),16.0
28,2017,4,30,6,Norway,9,16.0,sourdough: (01/01/2015 - 31/12/2020),16.0
29,2017,5,31,2,Lebanon,9,,sourdough: (01/01/2015 - 31/12/2020),
30,2017,6,30,4,Trinidad & Tobago,9,,sourdough: (01/01/2015 - 31/12/2020),
31,2017,7,31,0,Cyprus,9,,sourdough: (01/01/2015 - 31/12/2020),
32,2017,8,31,3,Qatar,9,,sourdough: (01/01/2015 - 31/12/2020),
33,2017,9,30,5,Maldives,9,,sourdough: (01/01/2015 - 31/12/2020),
34,2017,10,31,1,Kuwait,11,,sourdough: (01/01/2015 - 31/12/2020),
35,2017,12,1,4,Namibia,10,,sourdough: (01/01/2015 - 31/12/2020),
36,2018,1,1,0,Philippines,12,12.0,sourdough: (01/01/2015 - 31/12/2020),12.0
37,2018,2,1,3,Denmark,11,12.0,sourdough: (01/01/2015 - 31/12/2020),12.0
38,2018,3,1,3,Mauritius,11,,sourdough: (01/01/2015 - 31/12/2020),
39,2018,3,31,5,Estonia,13,,sourdough: (01/01/2015 - 31/12/2020),
40,2018,4,30,0,Luxembourg,11,,sourdough: (01/01/2015 - 31/12/2020),
41,2018,5,31,3,Israel,11,11.0,sourdough: (01/01/2015 - 31/12/2020),11.0
42,2018,6,30,5,Sweden,11,9.0,sourdough: (01/01/2015 - 31/12/2020),9.0
43,2018,7,31,1,Puerto Rico,11,,sourdough: (01/01/2015 - 31/12/2020),
44,2018,8,31,4,Switzerland,11,8.0,sourdough: (01/01/2015 - 31/12/2020),8.0
45,2018,9,30,6,Finland,11,8.0,sourdough: (01/01/2015 - 31/12/2020),8.0
46,2018,10,31,2,Netherlands,12,8.0,sourdough: (01/01/2015 - 31/12/2020),8.0
47,2018,12,1,5,North Macedonia,12,,sourdough: (01/01/2015 - 31/12/2020),
48,2019,1,1,1,Palestine,14,,sourdough: (01/01/2015 - 31/12/2020),
49,2019,2,1,4,Zimbabwe,14,,sourdough: (01/01/2015 - 31/12/2020),
50,2019,3,1,4,Jamaica,14,,sourdough: (01/01/2015 - 31/12/2020),
51,2019,3,31,6,Portugal,12,7.0,sourdough: (01/01/2015 - 31/12/2020),7.0
52,2019,4,30,1,Croatia,12,,sourdough: (01/01/2015 - 31/12/2020),
53,2019,5,31,4,China,12,,sourdough: (01/01/2015 - 31/12/2020),
54,2019,6,30,6,Belgium,12,6.0,sourdough: (01/01/2015 - 31/12/2020),6.0
55,2019,7,31,2,Panama,13,,sourdough: (01/01/2015 - 31/12/2020),
56,2019,8,31,5,Lithuania,13,,sourdough: (01/01/2015 - 31/12/2020),
57,2019,9,30,0,Costa Rica,13,,sourdough: (01/01/2015 - 31/12/2020),
58,2019,10,31,3,Laos,15,,sourdough: (01/01/2015 - 31/12/2020),
59,2019,12,1,6,Cambodia,14,,sourdough: (01/01/2015 - 31/12/2020),
60,2020,1,1,2,Greece,17,5.0,sourdough: (01/01/2015 - 31/12/2020),5.0
61,2020,2,1,5,Oman,17,,sourdough: (01/01/2015 - 31/12/2020),
62,2020,3,1,6,Slovakia,38,,sourdough: (01/01/2015 - 31/12/2020),
63,2020,3,31,1,Austria,100,5.0,sourdough: (01/01/2015 - 31/12/2020),5.0
64,2020,4,30,3,Latvia,84,,sourdough: (01/01/2015 - 31/12/2020),
65,2020,5,31,6,Myanmar (Burma),46,,sourdough: (01/01/2015 - 31/12/2020),
66,2020,6,30,1,Romania,33,4.0,sourdough: (01/01/2015 - 31/12/2020),4.0
67,2020,7,31,4,Indonesia,31,4.0,sourdough: (01/01/2015 - 31/12/2020),4.0
68,2020,8,31,0,Bulgaria,26,,sourdough: (01/01/2015 - 31/12/2020),
69,2020,9,30,2,Hungary,24,,sourdough: (01/01/2015 - 31/12/2020),
70,2020,10,31,5,Czechia,24,,sourdough: (01/01/2015 - 31/12/2020),
71,2020,12,1,1,Albania,25,,sourdough: (01/01/2015 - 31/12/2020),
72,2015,1,1,3,Guernsey,7,,0,2015-01-01 00:00:00
73,2015,2,1,6,Jersey,7,,0,2015-01-02 00:00:00
74,2015,3,1,6,New Zealand,6,100.0,0,2015-01-03 00:00:00
75,2015,3,31,1,Australia,6,100.0,0,2015-01-04 00:00:00
76,2015,4,30,3,Iceland,6,,0,2015-01-05 00:00:00
77,2015,5,31,6,Singapore,6,82.0,0,2015-01-06 00:00:00
78,2015,6,30,1,Canada,6,82.0,0,2015-01-07 00:00:00
79,2015,7,31,4,Ireland,6,81.0,0,2015-01-08 00:00:00
80,2015,8,31,0,United Kingdom,6,80.0,0,2015-01-09 00:00:00
81,2015,9,30,2,Bermuda,6,,0,2015-01-10 00:00:00
82,2015,10,31,5,Isle of Man,7,,0,2015-01-11 00:00:00
83,2015,12,1,1,United States,6,60.0,0,2015-01-12 00:00:00
84,2016,1,1,4,Guam,8,,0,2015-01-13 00:00:00
85,2016,2,1,0,Gibraltar,8,,0,2015-01-14 00:00:00
86,2016,3,1,1,Cayman Islands,10,,0,2015-01-15 00:00:00
87,2016,3,31,3,Brunei,9,,0,2015-01-16 00:00:00
88,2016,4,30,5,Malaysia,8,30.0,0,2015-01-17 00:00:00
89,2016,5,31,1,Belize,7,,0,2015-01-18 00:00:00
90,2016,6,30,3,South Africa,7,26.0,0,2015-01-19 00:00:00
91,2016,7,31,6,Hong Kong,7,25.0,0,2015-01-20 00:00:00
92,2016,8,31,2,Bahamas,7,,0,2015-01-21 00:00:00
93,2016,9,30,4,Malta,9,,0,2015-01-22 00:00:00
94,2016,10,31,0,Barbados,9,,0,2015-01-23 00:00:00
95,2016,12,1,3,Bahrain,8,,0,2015-01-24 00:00:00
96,2017,1,1,6,St Helena,9,,0,2015-01-25 00:00:00
97,2017,2,1,2,Slovenia,10,,0,2015-01-26 00:00:00
98,2017,3,1,2,Macao,9,,0,2015-01-27 00:00:00
99,2017,3,31,4,United Arab Emirates,10,16.0,0,2015-01-28 00:00:00
100,2017,4,30,6,Norway,9,16.0,0,2015-01-29 00:00:00
101,2017,5,31,2,Lebanon,9,,0,2015-01-30 00:00:00
102,2017,6,30,4,Trinidad & Tobago,9,,0,2015-01-31 00:00:00
103,2017,7,31,0,Cyprus,9,,0,2015-02-01 00:00:00
104,2017,8,31,3,Qatar,9,,0,2015-02-02 00:00:00
105,2017,9,30,5,Maldives,9,,0,2015-02-03 00:00:00
106,2017,10,31,1,Kuwait,11,,0,2015-02-04 00:00:00
107,2017,12,1,4,Namibia,10,,0,2015-02-05 00:00:00
108,2018,1,1,0,Philippines,12,12.0,0,2015-02-06 00:00:00
109,2018,2,1,3,Denmark,11,12.0,0,2015-02-07 00:00:00
110,2018,3,1,3,Mauritius,11,,0,2015-02-08 00:00:00
111,2018,3,31,5,Estonia,13,,0,2015-02-09 00:00:00
112,2018,4,30,0,Luxembourg,11,,0,2015-02-10 00:00:00
113,2018,5,31,3,Israel,11,11.0,0,2015-02-11 00:00:00
114,2018,6,30,5,Sweden,11,9.0,0,2015-02-12 00:00:00
115,2018,7,31,1,Puerto Rico,11,,0,2015-02-13 00:00:00
116,2018,8,31,4,Switzerland,11,8.0,0,2015-02-14 00:00:00
117,2018,9,30,6,Finland,11,8.0,0,2015-02-15 00:00:00
118,2018,10,31,2,Netherlands,12,8.0,0,2015-02-16 00:00:00
119,2018,12,1,5,North Macedonia,12,,0,2015-02-17 00:00:00
120,2019,1,1,1,Palestine,14,,0,2015-02-18 00:00:00
121,2019,2,1,4,Zimbabwe,14,,0,2015-02-19 00:00:00
122,2019,3,1,4,Jamaica,14,,0,2015-02-20 00:00:00
123,2019,3,31,6,Portugal,12,7.0,0,2015-02-21 00:00:00
124,2019,4,30,1,Croatia,12,,0,2015-02-22 00:00:00
125,2019,5,31,4,China,12,,0,2015-02-23 00:00:00
126,2019,6,30,6,Belgium,12,6.0,0,2015-02-24 00:00:00
127,2019,7,31,2,Panama,13,,0,2015-02-25 00:00:00
128,2019,8,31,5,Lithuania,13,,0,2015-02-26 00:00:00
129,2019,9,30,0,Costa Rica,13,,0,2015-02-27 00:00:00
130,2019,10,31,3,Laos,15,,0,2015-02-28 00:00:00
131,2019,12,1,6,Cambodia,14,,0,2015-03-01 00:00:00
132,2020,1,1,2,Greece,17,5.0,0,2015-03-02 00:00:00
133,2020,2,1,5,Oman,17,,0,2015-03-03 00:00:00
134,2020,3,1,6,Slovakia,38,,0,2015-03-04 00:00:00
135,2020,3,31,1,Austria,100,5.0,0,2015-03-05 00:00:00
136,2020,4,30,3,Latvia,84,,0,2015-03-06 00:00:00
137,2020,5,31,6,Myanmar (Burma),46,,0,2015-03-07 00:00:00
138,2020,6,30,1,Romania,33,4.0,0,2015-03-08 00:00:00
139,2020,7,31,4,Indonesia,31,4.0,0,2015-03-09 00:00:00
140,2020,8,31,0,Bulgaria,26,,0,2015-03-10 00:00:00
141,2020,9,30,2,Hungary,24,,0,2015-03-11 00:00:00
142,2020,10,31,5,Czechia,24,,0,2015-03-12 00:00:00
143,2020,12,1,1,Albania,25,,0,2015-03-13 00:00:00
144,2015,1,1,3,Guernsey,7,,date,2015-01-01 00:00:00
145,2015,2,1,6,Jersey,7,,date,2015-02-01 00:00:00
146,2015,3,1,6,New Zealand,6,100.0,date,2015-03-01 00:00:00
147,2015,3,31,1,Australia,6,100.0,date,2015-03-31 23:00:00
148,2015,4,30,3,Iceland,6,,date,2015-04-30 23:00:00
149,2015,5,31,6,Singapore,6,82.0,date,2015-05-31 23:00:00
150,2015,6,30,1,Canada,6,82.0,date,2015-06-30 23:00:00
151,2015,7,31,4,Ireland,6,81.0,date,2015-07-31 23:00:00
152,2015,8,31,0,United Kingdom,6,80.0,date,2015-08-31 23:00:00
153,2015,9,30,2,Bermuda,6,,date,2015-09-30 23:00:00
154,2015,10,31,5,Isle of Man,7,,date,2015-10-31 23:00:00
155,2015,12,1,1,United States,6,60.0,date,2015-12-01 00:00:00
