date,search_interest_sourdough_worldwide
2015-01-01T00:00:00Z,7
2015-02-01T00:00:00Z,7
2015-03-01T00:00:00Z,6
2015-03-31T23:00:00Z,6
2015-04-30T23:00:00Z,6
2015-05-31T23:00:00Z,6
2015-06-30T23:00:00Z,6
2015-07-31T23:00:00Z,6
2015-08-31T23:00:00Z,6
2015-09-30T23:00:00Z,6
2015-10-31T23:00:00Z,7
2015-12-01T00:00:00Z,6
2016-01-01T00:00:00Z,8
2016-02-01T00:00:00Z,8
2016-03-01T00:00:00Z,10
2016-03-31T23:00:00Z,9
2016-04-30T23:00:00Z,8
2016-05-31T23:00:00Z,7
2016-06-30T23:00:00Z,7
2016-07-31T23:00:00Z,7
2016-08-31T23:00:00Z,7
2016-09-30T23:00:00Z,9
2016-10-31T23:00:00Z,9
2016-12-01T00:00:00Z,8
2017-01-01T00:00:00Z,9
2017-02-01T00:00:00Z,10
2017-03-01T00:00:00Z,9
2017-03-31T23:00:00Z,10
2017-04-30T23:00:00Z,9
2017-05-31T23:00:00Z,9
2017-06-30T23:00:00Z,9
2017-07-31T23:00:00Z,9
2017-08-31T23:00:00Z,9
2017-09-30T23:00:00Z,9
2017-10-31T23:00:00Z,11
2017-12-01T00:00:00Z,10
2018-01-01T00:00:00Z,12
2018-02-01T00:00:00Z,11
2018-03-01T00:00:00Z,11
2018-03-31T23:00:00Z,13
2018-04-30T23:00:00Z,11
2018-05-31T23:00:00Z,11
2018-06-30T23:00:00Z,11
2018-07-31T23:00:00Z,11
2018-08-31T23:00:00Z,11
2018-09-30T23:00:00Z,11
2018-10-31T23:00:00Z,12
2018-12-01T00:00:00Z,12
2019-01-01T00:00:00Z,14
2019-02-01T00:00:00Z,14
2019-03-01T00:00:00Z,14
2019-03-31T23:00:00Z,12
2019-04-30T23:00:00Z,12
2019-05-31T23:00:00Z,12
2019-06-30T23:00:00Z,12
2019-07-31T23:00:00Z,13
2019-08-31T23:00:00Z,13
2019-09-30T23:00:00Z,13
2019-10-31T23:00:00Z,15
2019-12-01T00:00:00Z,14
2020-01-01T00:00:00Z,17
2020-02-01T00:00:00Z,17
2020-03-01T00:00:00Z,38
2020-03-31T23:00:00Z,100
2020-04-30T23:00:00Z,84
2020-05-31T23:00:00Z,46
2020-06-30T23:00:00Z,33
2020-07-31T23:00:00Z,31
2020-08-31T23:00:00Z,26
2020-09-30T23:00:00Z,24
2020-10-31T23:00:00Z,24
2020-12-01T00:00:00Z,25
